,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
432,1482998,18,41,4945948,5683,HIGH,6,YES,LOW
433,611518,9,43,5034274,9368,HIGH,1,NO,LOW
434,588170,7,8,4996377,6451,HIGH,0,NO,LOW
435,175986,20,34,5011143,8884,MEDIUM,4,NO,MEDIUM
436,355286,38,17,5068544,7490,HIGH,2,NO,MEDIUM
437,1241448,12,3,5036240,954,HIGH,3,YES,MEDIUM
438,412280,28,8,5003666,239,LOW,5,NO,HIGH
439,220261,9,9,4978857,4213,MEDIUM,3,NO,HIGH
440,556568,34,30,4916163,5515,LOW,9,YES,HIGH
441,160064,32,23,5037374,2036,HIGH,7,NO,HIGH
442,564235,25,26,4963299,5990,MEDIUM,6,YES,MEDIUM
443,476022,28,19,4971453,9934,MEDIUM,6,YES,MEDIUM
444,1425296,3,28,5083210,7149,MEDIUM,7,YES,LOW
445,1403771,24,21,5015315,5632,HIGH,2,NO,MEDIUM
446,194819,41,2,4950913,6501,HIGH,1,YES,LOW
447,949141,41,17,5014749,169,LOW,2,NO,HIGH
448,1051748,4,26,5025870,6284,LOW,9,NO,HIGH
449,833689,27,20,5059534,265,LOW,4,YES,MEDIUM
450,169810,42,36,4981093,7470,MEDIUM,9,YES,MEDIUM
451,980249,11,13,5024284,7373,MEDIUM,2,YES,LOW
452,41622,14,35,4980303,270,HIGH,6,NO,HIGH
453,267886,44,26,5031312,7505,LOW,8,YES,HIGH
454,829656,25,36,4957015,9439,HIGH,2,NO,LOW
455,128017,14,29,4945048,9936,LOW,3,NO,HIGH
456,349959,22,39,5062779,8987,MEDIUM,2,NO,MEDIUM
457,421307,15,2,5014886,9963,MEDIUM,9,NO,HIGH
458,1369499,38,31,5002191,8258,LOW,8,YES,HIGH
459,241625,14,42,4952672,5760,MEDIUM,6,NO,HIGH
460,315610,2,11,4971139,2696,MEDIUM,8,NO,HIGH
461,173896,29,9,4972538,86,LOW,4,NO,HIGH
462,788816,48,49,5045625,350,HIGH,2,YES,MEDIUM
463,1283902,46,45,4938226,2113,HIGH,5,NO,HIGH
464,853207,17,44,5015570,6280,MEDIUM,1,YES,LOW
465,398645,30,9,4937713,2917,LOW,4,NO,HIGH
466,1136585,31,1,4967797,1099,MEDIUM,1,NO,HIGH
467,888684,7,11,4977730,3650,HIGH,5,YES,LOW
468,622774,28,19,5074588,7035,HIGH,3,NO,MEDIUM
469,946119,36,13,5081307,6891,LOW,2,YES,MEDIUM
470,338153,12,22,5025144,3981,MEDIUM,4,NO,HIGH
471,16982,9,5,4936902,638,MEDIUM,1,YES,MEDIUM
472,268428,15,12,4928843,6293,HIGH,5,NO,MEDIUM
473,568700,4,19,4990810,2859,MEDIUM,3,NO,MEDIUM
474,1181536,38,45,4909265,409,MEDIUM,1,NO,HIGH
475,1037176,0,9,5010818,7368,MEDIUM,5,YES,LOW
476,1321498,20,16,4954849,8167,HIGH,6,NO,MEDIUM
477,1027802,36,5,5021994,7572,MEDIUM,1,YES,LOW
478,225734,20,35,4951115,6505,LOW,0,YES,MEDIUM
479,1144335,12,2,5017791,8416,HIGH,4,NO,LOW
480,225089,12,31,4948121,7893,MEDIUM,2,NO,MEDIUM
481,1267238,34,40,4945353,1240,LOW,5,NO,HIGH
482,1286300,33,16,5016627,8361,MEDIUM,0,YES,LOW
483,1430319,37,1,5003552,8793,MEDIUM,0,NO,MEDIUM
484,63548,26,29,4968956,1403,LOW,8,NO,HIGH
485,1301376,3,31,5033259,9408,HIGH,3,NO,LOW
486,1122712,49,17,4944617,1655,LOW,0,YES,MEDIUM
487,1275081,17,46,4968045,5465,HIGH,1,NO,MEDIUM
488,1291025,32,17,5002720,3131,HIGH,0,NO,MEDIUM
489,987601,48,40,4962836,8876,HIGH,1,YES,LOW
490,681355,33,48,4977357,7851,MEDIUM,8,NO,HIGH
491,147002,48,28,4947258,4986,HIGH,9,NO,HIGH
492,1285566,11,26,5139106,2189,HIGH,0,NO,MEDIUM
493,893427,23,25,4934530,9300,MEDIUM,0,YES,LOW
494,1078475,33,15,5019802,1886,LOW,0,YES,MEDIUM
495,526338,39,21,4933184,2886,HIGH,8,YES,MEDIUM
496,1294602,31,18,5027928,6135,LOW,9,NO,HIGH
497,281939,6,38,4983471,6885,MEDIUM,5,NO,MEDIUM
498,1378983,44,7,4959674,6939,MEDIUM,7,NO,HIGH
499,782653,38,29,4967182,9153,HIGH,9,YES,LOW
500,1418849,45,39,4990364,8892,HIGH,4,YES,LOW
501,795445,15,43,5007960,5146,MEDIUM,7,NO,HIGH
502,814364,28,31,4959134,3988,LOW,1,NO,HIGH
503,723207,24,47,5044300,4390,MEDIUM,0,NO,MEDIUM
504,333515,40,46,5008731,7715,HIGH,7,YES,LOW
505,385381,29,27,5012416,2329,MEDIUM,4,NO,HIGH
506,134895,43,22,5004139,348,HIGH,8,YES,HIGH
507,475425,27,13,5032074,3326,LOW,9,NO,HIGH
508,734455,20,12,5001461,9973,LOW,3,NO,HIGH
509,449245,38,18,5043683,1467,HIGH,9,YES,HIGH
510,1363836,31,25,5067492,6595,LOW,9,YES,HIGH
511,203273,36,21,5049722,7336,LOW,1,YES,MEDIUM
512,142490,29,41,5100805,5856,MEDIUM,3,YES,MEDIUM
513,857737,0,35,5009341,7694,LOW,6,YES,MEDIUM
514,1056591,16,41,5053737,4442,MEDIUM,3,YES,LOW
515,628268,1,5,5082222,6829,LOW,6,NO,HIGH
516,82402,48,45,5025457,8755,HIGH,8,NO,MEDIUM
517,489908,33,12,4969009,9200,MEDIUM,8,YES,MEDIUM
518,374118,45,5,5011387,7169,LOW,4,NO,HIGH
519,26251,49,30,4982119,1618,HIGH,3,NO,HIGH
520,1453871,25,18,4886991,7293,HIGH,8,YES,LOW
521,251141,13,40,5104707,3629,MEDIUM,9,YES,MEDIUM
522,786263,32,40,5008964,1489,HIGH,0,YES,MEDIUM
523,502922,40,27,4921550,2956,MEDIUM,8,NO,HIGH
524,246237,24,30,5053324,4280,MEDIUM,3,NO,HIGH
525,23154,48,34,5032178,9085,LOW,0,NO,HIGH
526,676907,29,12,5049222,8413,HIGH,8,NO,MEDIUM
527,228517,5,42,5016455,9472,LOW,5,NO,HIGH
528,223628,32,8,5103414,2677,HIGH,5,NO,HIGH
529,1131880,10,38,5031731,9875,MEDIUM,9,YES,LOW
530,1016292,11,9,4940696,7021,HIGH,5,YES,LOW
531,1198447,32,24,4992468,2855,HIGH,7,YES,MEDIUM
532,610109,17,4,4978461,5763,MEDIUM,5,YES,MEDIUM
533,910939,35,2,4966358,5062,MEDIUM,6,YES,MEDIUM
534,117975,17,31,4991677,9017,HIGH,5,NO,MEDIUM
535,771860,48,36,4916553,2169,HIGH,9,YES,HIGH
536,952355,41,7,5025314,1291,LOW,2,YES,MEDIUM
537,638919,34,35,5052837,5015,LOW,6,YES,HIGH
538,404315,13,13,4942562,1244,HIGH,0,YES,LOW
539,114619,21,4,4911349,209,MEDIUM,5,YES,MEDIUM
540,596619,49,23,5007298,8282,MEDIUM,7,YES,MEDIUM
541,102164,13,42,4893029,7474,HIGH,7,NO,MEDIUM
542,588028,43,27,5027894,5128,HIGH,3,YES,MEDIUM
543,1107722,26,4,5003546,3414,HIGH,1,YES,LOW
544,714729,21,36,5043463,3387,HIGH,0,YES,LOW
545,452862,25,16,4928769,2251,LOW,7,YES,HIGH
546,1359550,0,19,4979465,7658,MEDIUM,7,YES,LOW
547,1236599,2,42,4958105,980,MEDIUM,1,NO,MEDIUM
548,107040,32,38,4972248,8244,MEDIUM,4,NO,HIGH
549,882990,1,3,5017367,9055,HIGH,7,YES,LOW
550,932526,28,20,4976939,9249,HIGH,5,NO,MEDIUM
551,1411664,34,41,4952252,4640,LOW,3,YES,MEDIUM
552,1124701,26,30,4975903,2477,LOW,6,NO,HIGH
553,70527,6,26,4952392,4118,MEDIUM,8,YES,MEDIUM
554,292277,36,12,5024221,8757,HIGH,5,NO,MEDIUM
555,1187326,31,34,5065515,4155,LOW,3,NO,HIGH
556,575072,41,49,5000767,3272,MEDIUM,0,YES,MEDIUM
557,752631,11,3,4913921,9572,HIGH,3,YES,LOW
558,1500401,11,47,5087158,1517,HIGH,9,YES,MEDIUM
559,1278514,11,12,4969267,7734,LOW,6,YES,MEDIUM
560,983475,8,11,5021839,3781,LOW,2,NO,HIGH
561,443795,22,37,4958784,123,MEDIUM,3,YES,MEDIUM
562,781399,43,9,5069103,2732,HIGH,2,YES,MEDIUM
563,194038,17,23,5053667,6606,HIGH,8,NO,MEDIUM
564,790879,30,26,5003963,2385,MEDIUM,0,YES,MEDIUM
565,6412,49,45,4993545,4580,LOW,1,NO,HIGH
566,285070,43,0,5009562,5261,MEDIUM,2,NO,HIGH
567,572277,42,20,5002958,8211,LOW,5,NO,HIGH
568,359145,44,37,5009235,7365,MEDIUM,9,YES,MEDIUM
569,1428246,47,37,4980452,3201,LOW,8,YES,HIGH
570,1114719,39,39,5032999,4639,HIGH,4,NO,HIGH
571,211295,41,24,4984023,1874,MEDIUM,8,NO,HIGH
572,448675,44,39,4901255,2760,MEDIUM,8,NO,HIGH
573,1051655,29,15,4987026,1557,MEDIUM,9,NO,HIGH
574,881521,11,44,4995062,7518,LOW,1,NO,HIGH
575,647286,28,38,5034331,1475,MEDIUM,2,NO,HIGH
576,371305,37,34,5136788,4203,LOW,6,NO,HIGH
577,667773,47,25,4878752,8121,MEDIUM,8,YES,MEDIUM
578,346295,41,29,4976918,9051,MEDIUM,7,NO,HIGH
579,1429386,14,43,4967080,483,HIGH,7,YES,MEDIUM
580,986155,37,20,5009835,9776,MEDIUM,4,NO,MEDIUM
581,1387297,18,23,4913192,638,MEDIUM,9,NO,HIGH
582,1422682,39,28,5025699,1183,LOW,9,YES,HIGH
583,1189888,15,28,5023386,2019,LOW,0,NO,HIGH
584,266940,1,2,4950902,4255,MEDIUM,8,NO,HIGH
585,140143,22,2,5005610,817,MEDIUM,0,YES,MEDIUM
586,995648,49,41,4931434,8197,HIGH,6,NO,MEDIUM
587,897655,18,31,4951865,8271,LOW,4,YES,MEDIUM
588,1146175,43,4,4982189,5556,HIGH,1,NO,MEDIUM
589,271672,14,22,5017563,8177,LOW,8,YES,HIGH
590,1338107,40,13,5034885,4300,HIGH,9,YES,MEDIUM
591,275423,41,18,5035737,7222,LOW,3,YES,HIGH
592,682842,4,7,4972528,1585,LOW,8,YES,MEDIUM
593,201813,28,16,5048452,5670,MEDIUM,5,YES,MEDIUM
594,1370061,32,26,5006939,5970,HIGH,0,YES,LOW
595,592454,46,44,5044995,4062,LOW,8,YES,HIGH
596,147107,13,37,5019137,5963,LOW,7,NO,HIGH
597,890698,12,41,4968286,5026,HIGH,8,YES,LOW
598,894325,38,11,5045425,3709,LOW,8,NO,HIGH
599,596793,1,1,4934374,2772,LOW,5,YES,MEDIUM
600,680987,11,12,5020987,872,LOW,2,NO,HIGH
601,1177889,22,10,5002272,4471,MEDIUM,0,YES,LOW
602,313474,46,18,4986864,9631,HIGH,4,YES,LOW
603,1038535,11,14,5072498,3058,HIGH,7,NO,HIGH
604,748974,29,29,4963173,218,HIGH,3,NO,HIGH
605,737475,35,4,5017489,3348,HIGH,3,NO,HIGH
606,1088301,21,39,4940835,3107,LOW,0,NO,HIGH
607,941016,22,10,5059119,2767,LOW,4,NO,HIGH
608,172129,23,5,4997389,8368,LOW,8,NO,HIGH
609,520121,4,32,4944353,4345,HIGH,8,NO,MEDIUM
610,773239,20,41,4989505,9519,HIGH,2,YES,LOW
611,952085,21,45,4911735,6034,HIGH,9,YES,LOW
612,1345601,39,13,4963011,3430,LOW,6,YES,HIGH
613,401527,49,17,5024795,4729,MEDIUM,1,YES,MEDIUM
614,905708,37,6,4960471,8210,LOW,5,NO,HIGH
615,557626,26,43,5051677,8822,LOW,8,NO,HIGH
616,1011241,35,5,5095892,3780,HIGH,3,NO,HIGH
617,1348967,40,8,5035581,4221,MEDIUM,9,YES,HIGH
618,946393,35,12,5002851,787,HIGH,7,NO,HIGH
619,923471,33,8,5071239,6491,HIGH,0,NO,MEDIUM
620,410488,43,37,5090262,9124,HIGH,0,NO,LOW
621,673527,8,15,5039463,6706,LOW,2,NO,HIGH
622,875025,14,42,4986720,6506,HIGH,2,NO,MEDIUM
623,1478807,28,17,4977652,8811,HIGH,2,YES,LOW
624,22810,31,44,4971947,2086,HIGH,6,NO,HIGH
625,412092,27,11,4952732,8265,HIGH,3,YES,LOW
626,1209886,14,30,5118453,2024,LOW,7,NO,HIGH
627,771716,18,21,4988438,7752,HIGH,9,NO,MEDIUM
628,684511,8,15,5018717,2627,MEDIUM,2,YES,LOW
629,1003172,19,12,5080805,5490,MEDIUM,9,NO,HIGH
630,373039,23,32,4983625,9492,MEDIUM,3,NO,MEDIUM
631,1072745,38,24,4898437,1261,HIGH,7,YES,MEDIUM
632,388570,4,29,4982217,390,LOW,1,YES,MEDIUM
633,1466975,45,36,4990273,400,MEDIUM,7,NO,HIGH
634,1391317,47,18,5013455,2113,MEDIUM,5,YES,MEDIUM
635,1198934,30,2,5032482,7374,LOW,0,YES,MEDIUM
636,873031,11,27,5014611,6714,HIGH,1,YES,LOW
637,334246,12,5,5009870,6544,LOW,7,YES,MEDIUM
638,199694,18,45,5011868,6828,LOW,0,YES,MEDIUM
639,696079,9,47,4997243,1319,LOW,1,NO,HIGH
640,1433589,48,14,5019488,1925,HIGH,8,NO,HIGH
641,311428,8,30,5065592,4382,MEDIUM,9,NO,HIGH
642,1001151,43,34,5011996,5364,HIGH,2,NO,MEDIUM
643,1095142,42,42,5078229,1681,HIGH,6,YES,MEDIUM
644,1236801,38,28,5090992,7287,LOW,4,YES,MEDIUM
645,308772,37,27,4994742,3733,LOW,4,NO,HIGH
646,407200,1,14,5030153,3204,MEDIUM,6,NO,HIGH
647,652629,12,25,4964460,9480,HIGH,1,YES,LOW
648,1414064,5,37,5037174,1027,LOW,6,YES,MEDIUM
649,939257,34,21,5006573,2755,MEDIUM,1,NO,HIGH
650,1342490,42,16,5002791,1000,HIGH,2,NO,HIGH
651,1145288,29,8,4998378,2416,HIGH,8,YES,MEDIUM
652,292239,10,30,4999058,6892,LOW,3,NO,HIGH
653,139823,3,41,5061035,9778,HIGH,5,NO,LOW
654,292763,9,20,4959988,4551,MEDIUM,3,YES,LOW
655,1471293,27,5,5070708,8299,LOW,7,NO,HIGH
656,869989,28,46,4983242,981,HIGH,5,NO,HIGH
657,483654,46,11,5035955,2229,HIGH,8,NO,HIGH
658,676653,32,41,5003950,4825,MEDIUM,4,YES,MEDIUM
659,572633,41,49,4962681,9436,HIGH,8,NO,MEDIUM
660,1181480,36,44,4896763,8450,LOW,6,NO,HIGH
661,1144976,5,38,4987005,7620,HIGH,7,YES,LOW
662,1118505,8,2,5003649,7782,HIGH,9,NO,MEDIUM
663,133673,28,45,5082511,4907,MEDIUM,2,NO,HIGH
664,26823,30,26,4950382,4356,HIGH,2,NO,MEDIUM
665,207641,49,29,4933124,5753,HIGH,3,YES,MEDIUM
666,67445,0,24,4908254,7996,LOW,4,NO,HIGH
667,477534,34,45,5059528,6991,MEDIUM,1,NO,MEDIUM
668,1128307,27,29,4987630,8746,LOW,7,NO,HIGH
669,944031,30,28,4990738,4768,MEDIUM,5,YES,MEDIUM
670,263208,4,44,5000700,2432,LOW,6,NO,HIGH
671,646070,26,39,5067942,8363,LOW,2,YES,MEDIUM
672,1404869,5,45,5021596,1668,MEDIUM,4,NO,HIGH
673,106596,15,9,5018875,2646,HIGH,8,NO,HIGH
674,1047277,4,6,4931889,7699,HIGH,3,NO,LOW
675,1110518,9,10,4965291,2435,LOW,2,NO,HIGH
676,444800,5,12,4969371,5048,MEDIUM,4,NO,MEDIUM
677,1363697,5,37,5034434,2529,MEDIUM,2,YES,LOW
678,688403,37,15,5100828,5145,HIGH,9,NO,HIGH
679,1242811,39,15,5003045,8513,HIGH,9,YES,LOW
680,978271,37,0,4931990,3955,LOW,2,YES,MEDIUM
681,380782,4,6,5107877,8143,MEDIUM,6,NO,MEDIUM
682,92824,1,23,5037744,9967,MEDIUM,0,YES,LOW
683,1494619,41,16,5010974,2864,LOW,3,YES,MEDIUM
684,338703,22,15,5052600,7729,MEDIUM,9,NO,HIGH
685,655476,47,34,4987786,6001,HIGH,2,YES,LOW
686,556683,12,46,5040609,998,MEDIUM,4,YES,MEDIUM
687,1284552,6,32,5025634,4012,HIGH,4,NO,MEDIUM
688,1187208,45,11,4901273,162,HIGH,2,YES,MEDIUM
689,708714,4,6,5024681,9736,MEDIUM,6,NO,MEDIUM
690,266001,26,3,5054406,8148,LOW,3,NO,HIGH
691,930022,41,14,5018987,1097,HIGH,0,YES,MEDIUM
692,1029957,14,40,4997028,6377,MEDIUM,6,NO,HIGH
693,1394928,13,41,4980497,4882,MEDIUM,9,YES,MEDIUM
694,173148,19,21,5047180,8156,MEDIUM,8,NO,HIGH
695,1234521,48,24,5027495,49,LOW,7,YES,HIGH
696,906630,9,16,5061504,2727,LOW,4,YES,MEDIUM
697,1328648,2,6,5071515,6829,HIGH,2,YES,LOW
698,203005,11,38,4983211,1973,MEDIUM,6,YES,MEDIUM
699,1360795,12,47,5045968,8034,LOW,0,NO,MEDIUM
700,624457,4,21,5091642,8805,HIGH,5,YES,LOW
701,1473486,32,12,4931012,4828,MEDIUM,2,NO,HIGH
702,191642,36,2,4958579,5849,LOW,4,YES,HIGH
703,384939,31,28,5008334,7420,MEDIUM,6,NO,HIGH
704,117587,34,46,5039928,9120,MEDIUM,3,NO,HIGH
705,424434,1,11,4996941,5537,HIGH,0,NO,LOW
706,1298506,1,40,5038616,95,MEDIUM,3,YES,MEDIUM
707,1339835,24,41,4990355,6501,MEDIUM,9,YES,MEDIUM
708,973990,17,35,5038046,6393,HIGH,6,YES,LOW
709,730932,16,37,5108575,6108,LOW,8,NO,HIGH
710,579681,48,49,4989148,715,MEDIUM,8,YES,HIGH
711,225456,35,31,4917575,4181,MEDIUM,4,NO,HIGH
712,1056701,44,6,5021187,563,MEDIUM,2,NO,HIGH
713,1230657,17,9,4961261,9122,HIGH,6,YES,LOW
714,636935,37,33,4958995,9909,MEDIUM,0,NO,MEDIUM
715,292677,0,34,5056364,3251,LOW,7,YES,MEDIUM
716,1270075,31,14,4970867,9391,LOW,7,NO,HIGH
717,535089,30,27,4912836,7596,MEDIUM,3,YES,MEDIUM
718,348736,32,0,5007826,1486,MEDIUM,4,YES,MEDIUM
719,1073548,38,22,4998436,9551,MEDIUM,6,NO,HIGH
720,1393286,30,18,4965107,2344,LOW,6,YES,MEDIUM
721,254737,25,1,5018786,9968,HIGH,5,NO,LOW
722,363805,12,7,4969062,6236,HIGH,8,NO,MEDIUM
723,1403503,34,17,5020243,2507,MEDIUM,7,YES,MEDIUM
724,1440710,40,7,4998876,6299,LOW,6,YES,HIGH
725,521544,31,5,4990333,163,LOW,5,NO,HIGH
726,328440,5,24,4953466,5893,LOW,5,NO,HIGH
727,908602,15,36,4900842,9271,HIGH,1,NO,LOW
728,962315,45,46,4947894,3111,MEDIUM,9,YES,HIGH
729,284749,37,25,5044276,3373,MEDIUM,4,NO,HIGH
730,169053,25,38,5083094,3665,MEDIUM,0,YES,MEDIUM
731,1487757,44,46,5029302,6656,HIGH,2,YES,LOW
732,666140,0,10,4969923,4517,MEDIUM,0,YES,LOW
733,61883,20,33,4943408,5268,LOW,5,YES,MEDIUM
734,859131,40,6,5012265,2945,LOW,2,YES,MEDIUM
735,372092,20,38,5049623,4369,MEDIUM,6,NO,HIGH
736,1142449,3,8,5055096,4525,LOW,8,YES,MEDIUM
737,1438894,36,47,4994987,3076,HIGH,2,NO,HIGH
738,1377692,39,43,4949286,5459,HIGH,4,NO,MEDIUM
739,244156,30,19,4921166,1074,HIGH,2,YES,MEDIUM
740,930045,21,21,5007315,3120,MEDIUM,6,YES,MEDIUM
741,1101292,32,44,4957481,7401,HIGH,9,YES,LOW
742,555952,10,42,4972891,641,MEDIUM,8,NO,HIGH
743,36772,3,6,4977318,9217,LOW,9,NO,HIGH
744,837,15,20,5025995,1642,HIGH,7,YES,MEDIUM
745,1114168,40,23,5021802,4570,LOW,2,NO,HIGH
746,1200256,24,7,4947837,4065,LOW,8,YES,HIGH
747,290983,26,26,4951095,3944,MEDIUM,1,YES,MEDIUM
748,335508,23,46,4973961,1462,MEDIUM,5,NO,HIGH
749,1238185,43,3,4977721,9710,MEDIUM,7,YES,MEDIUM
750,1194942,12,40,5039059,9445,MEDIUM,5,NO,MEDIUM
751,701407,36,21,5082821,9381,MEDIUM,1,NO,MEDIUM
752,285389,8,5,4992148,6539,HIGH,5,NO,MEDIUM
753,1247252,17,17,5075102,3858,HIGH,7,YES,MEDIUM
754,1458408,30,20,4939648,9096,MEDIUM,3,YES,LOW
755,648691,5,47,4921961,1390,MEDIUM,3,YES,MEDIUM
756,568546,26,13,5039261,2057,LOW,0,NO,HIGH
757,1025480,44,7,5012848,8045,MEDIUM,1,YES,LOW
758,1319943,40,26,4958362,8112,MEDIUM,6,NO,HIGH
759,796155,14,48,4945000,9925,LOW,0,NO,HIGH
760,67685,39,47,4977298,3862,MEDIUM,0,NO,HIGH
761,1242473,37,14,5008244,6807,MEDIUM,8,NO,HIGH
762,982143,2,27,4930127,3074,HIGH,7,NO,MEDIUM
763,179393,8,2,4967178,2361,LOW,6,YES,MEDIUM
764,529320,35,28,4968678,9546,HIGH,3,NO,LOW
765,995094,18,1,5027105,1506,LOW,0,NO,HIGH
766,825260,35,31,4899190,8163,LOW,6,NO,HIGH
767,1071280,24,17,5012956,2763,HIGH,2,NO,MEDIUM
768,1129051,10,6,4909381,2554,MEDIUM,4,NO,HIGH
769,998240,27,5,5068712,6533,MEDIUM,3,YES,LOW
770,1091458,43,29,5023458,9648,MEDIUM,1,YES,LOW
771,1467225,17,49,5070437,6020,HIGH,1,NO,LOW
772,1201787,20,26,4963136,8100,HIGH,8,NO,MEDIUM
773,671963,7,1,4996605,8889,HIGH,6,NO,LOW
774,205123,17,1,4970002,1495,LOW,9,YES,HIGH
775,1373438,45,2,5006111,5557,HIGH,2,NO,MEDIUM
776,1105708,39,36,4924527,5069,LOW,4,YES,MEDIUM
777,241833,41,12,4950586,6862,LOW,3,YES,HIGH
778,1409798,3,24,5000448,1381,HIGH,0,YES,LOW
779,409274,24,3,5049098,3794,MEDIUM,0,YES,MEDIUM
780,1260549,27,5,5034203,443,LOW,8,NO,HIGH
781,395005,1,41,4950502,1306,HIGH,8,YES,MEDIUM
782,320942,28,34,4904676,6795,MEDIUM,8,YES,MEDIUM
783,1211600,26,17,5019217,1126,LOW,9,YES,HIGH
784,1183567,16,19,4942179,9883,HIGH,9,YES,LOW
785,1184669,41,0,5088393,130,HIGH,4,NO,HIGH
786,1019321,0,29,5010358,4493,MEDIUM,5,YES,LOW
787,54703,28,0,5050673,9927,MEDIUM,4,NO,MEDIUM
788,545600,22,2,4908754,9918,HIGH,7,YES,LOW
789,169997,10,5,4989590,1832,HIGH,6,NO,HIGH
790,743437,4,9,4961195,3472,MEDIUM,5,YES,MEDIUM
791,1065166,29,13,4874160,8816,MEDIUM,3,YES,LOW
792,339798,22,28,5002585,6860,LOW,6,NO,HIGH
793,1405580,16,33,4993259,1229,HIGH,2,NO,MEDIUM
794,130419,13,47,5056317,8863,HIGH,6,NO,MEDIUM
795,1439463,7,2,5048693,3513,MEDIUM,1,YES,LOW
796,1110891,9,37,4961692,7363,MEDIUM,8,NO,HIGH
797,658007,24,44,4951033,1647,MEDIUM,2,YES,MEDIUM
798,304746,35,8,5006930,9426,HIGH,8,YES,LOW
799,1309908,13,14,5072331,5687,LOW,3,NO,HIGH
800,673656,42,36,5026075,5905,HIGH,0,YES,LOW
801,1424661,27,40,4902450,4850,HIGH,4,NO,MEDIUM
802,1387438,32,12,4972360,6966,LOW,7,NO,HIGH
803,424202,7,35,5017418,9386,LOW,9,YES,MEDIUM
804,1304824,45,4,5028492,8248,MEDIUM,8,NO,HIGH
805,1293229,16,7,5059808,8866,LOW,4,YES,MEDIUM
806,126225,20,35,4962791,5441,LOW,3,NO,HIGH
807,478813,2,29,4984238,4294,LOW,6,NO,HIGH
808,352218,19,49,4995264,2875,HIGH,0,NO,MEDIUM
809,1347634,49,9,5000844,3371,LOW,9,YES,HIGH
810,292253,21,41,5011661,4861,HIGH,2,YES,LOW
811,14698,26,27,5014114,8302,LOW,5,YES,HIGH
812,918818,43,29,5067521,1970,MEDIUM,3,YES,MEDIUM
813,1090692,40,33,5100237,7146,LOW,2,YES,MEDIUM
814,297978,34,2,5010673,828,LOW,8,YES,HIGH
815,1133251,45,46,5017496,159,LOW,3,YES,MEDIUM
816,994040,11,39,4968607,1668,HIGH,7,NO,HIGH
817,12204,47,0,5017521,6455,HIGH,0,NO,MEDIUM
818,1107450,45,39,4985117,4282,HIGH,5,NO,HIGH
819,201418,43,41,5040112,4124,HIGH,7,NO,HIGH
820,1458435,14,37,5052559,8153,MEDIUM,4,NO,MEDIUM
821,1001778,18,9,4992698,8911,LOW,8,YES,MEDIUM
822,951573,16,49,5005119,9254,MEDIUM,7,NO,MEDIUM
823,72310,38,17,5025303,9446,HIGH,7,YES,LOW
824,992931,10,31,5040244,2594,MEDIUM,6,YES,MEDIUM
825,1003106,19,11,4991157,2987,MEDIUM,0,YES,LOW
826,809854,35,18,4975071,966,LOW,8,YES,HIGH
827,1222596,39,43,4970973,1127,MEDIUM,3,NO,HIGH
828,174594,23,19,5060701,2224,MEDIUM,6,NO,HIGH
829,1383157,3,15,5107957,524,LOW,1,YES,LOW
830,415807,38,25,5028753,3968,LOW,8,YES,HIGH
831,1040600,25,33,5004372,7818,HIGH,2,YES,LOW
832,696000,1,45,5122843,3321,HIGH,3,YES,LOW
833,297574,47,22,4992717,1329,HIGH,7,YES,HIGH
834,881094,27,40,4969691,3618,HIGH,3,NO,MEDIUM
835,425960,9,13,5001352,4946,MEDIUM,8,NO,HIGH
836,470840,22,34,4982218,5503,HIGH,6,NO,MEDIUM
837,1266050,27,49,5004441,7338,HIGH,1,NO,LOW
838,849146,41,24,4952944,4782,LOW,8,YES,HIGH
839,277061,5,18,4956111,7554,HIGH,5,NO,MEDIUM
840,942341,15,12,4970912,8254,MEDIUM,4,NO,MEDIUM
841,815547,42,18,5038694,8552,HIGH,5,NO,MEDIUM
842,819808,23,42,5055064,7733,LOW,7,NO,HIGH
843,1156107,1,20,5050389,811,HIGH,1,NO,MEDIUM
844,11082,35,33,4956130,2841,HIGH,8,YES,MEDIUM
845,449987,13,22,5028736,5497,HIGH,9,NO,MEDIUM
846,481967,45,28,5038439,8723,MEDIUM,0,NO,MEDIUM
847,92234,43,5,5019124,6766,MEDIUM,5,YES,MEDIUM
848,894793,38,23,4932446,1707,MEDIUM,7,YES,HIGH
849,469372,38,21,5087688,1663,LOW,1,YES,MEDIUM
850,423296,44,46,4969789,3553,MEDIUM,7,NO,HIGH
851,992633,32,29,4990229,9209,LOW,0,YES,MEDIUM
852,656942,15,15,4952113,7831,HIGH,8,YES,LOW
853,1024443,42,18,5004589,2071,LOW,1,NO,HIGH
854,458881,18,37,4981552,6067,HIGH,4,NO,MEDIUM
855,306395,33,40,5041482,9203,MEDIUM,6,NO,HIGH
856,963774,26,18,5093665,9415,LOW,4,NO,HIGH
857,1367396,17,8,4927690,1633,LOW,6,NO,HIGH
858,853204,41,9,5037036,802,MEDIUM,6,NO,HIGH
859,1342205,34,43,5010752,7118,LOW,9,YES,HIGH
860,136888,13,44,4917536,816,LOW,9,YES,HIGH
861,724541,44,14,4858718,5078,HIGH,8,YES,MEDIUM
862,966408,45,44,4992739,3040,MEDIUM,3,YES,MEDIUM
863,340284,43,3,4963988,7787,LOW,3,NO,HIGH
